date,total_kwh
2019-12-30,398.153888888885
2019-12-31,761.373666666663
2020-01-01,733.270222222249
2020-01-02,350.512777777785
2020-01-03,431.104111111088
2020-01-04,460.018444444426
2020-01-05,282.449777777774
2020-01-06,311.144555555556
2020-01-07,733.795555555526
2020-01-08,629.321000000002
2020-01-09,743.237888888898
2020-01-10,1012.11455555553
2020-01-11,988.558666666673
2020-01-12,942.473777777782
2020-01-13,922.604777777791
2020-01-14,919.587333333329
2020-01-15,927.901777777768
2020-01-16,1013.37255555556
2020-01-17,786.052888888954
2020-01-18,1008.31866666675
2020-01-19,995.296111111193
2020-01-20,1070.05188888893
2020-01-21,1034.36111111103
2020-01-22,933.022888888944
2020-01-23,824.604555555562
2020-01-24,663.927777777784
2020-01-25,943.725333333414
2020-01-26,886.046777777752
2020-01-27,810.120666666665
2020-01-28,854.178444444445
2020-01-29,621.10877777776
2020-01-30,136.370555555562
2020-01-31,284.875
2020-02-01,554.849111111113
2020-02-02,693.202888888905
2020-02-03,866.096111111123
2020-02-04,745.211111111099
2020-02-05,984.639666666662
2020-02-06,920.885333333365
2020-02-07,961.761222222229
2020-02-08,994.561777777714
2020-02-09,740.338888888901
2020-02-10,964.7978888889
2020-02-11,721.603444444422
2020-02-12,818.092888888849
